object_id,stname,dtname,sdtname,st_area_sh,st_length_,remarks,dist_lgd,state_lgd,subdt_lgd,ac_no,st_length(shape),st_area(shape),max,mean,count,sum
10-206-01064,BIHAR,Sitamarhi,Suppi,0.0,0.0,,221,10,1064,,71084.15120823232,92250451.53846286,0.007244464492797852,0.004380142384416917,68,0.29784968214035035
10-234-01463,BIHAR,Rohtas,Nasriganj,0.0,0.0,,215,10,1463,,90034.07903274363,167356919.18355417,0.003575998914241791,0.0031655862377535917,124,0.39253269348144537
10-234-01464,BIHAR,Rohtas,Rajpur,0.0,0.0,,215,10,1464,,68660.48684625747,85633596.4997788,0.0032042185068130494,0.00320421850681305,66,0.21147842144966128
10-234-01465,BIHAR,Rohtas,Sanjhauli,0.0,0.0,,215,10,1465,,56591.722358052,83833486.39015438,0.0032042185068130494,0.002688072719881612,62,0.16666050863265994
10-203-01023,BIHAR,Pashchim Champaran,Thakrahan,0.0,0.0,,211,10,1023,,79847.09402015881,199004696.79409248,0.0001802175521850586,2.2371834064352103e-05,145,0.0032439159393310548
10-204-01054,BIHAR,Purbi Champaran,Phenhara,0.0,0.0,,213,10,1054,,44565.43736457999,67645025.94776015,0.00278277804851532,0.0027827780485153203,51,0.14192168047428133
10-219-01262,BIHAR,Saran,Maker,0.0,0.0,,218,10,1262,,62357.8736467211,96585777.9808088,0.0,0.0,68,0.0
10-220-01282,BIHAR,Vaishali,Sahdai Buzurg,0.0,0.0,,224,10,1282,,74546.65030748869,114161677.3631406,0.0007851817607879639,0.00029326065764369736,83,0.024340634584426882
10-229-01388,BIHAR,Nalanda,Tharthari,0.0,0.0,,209,10,1388,,71853.42144919158,77411758.12428828,0.002096483898162842,0.0011621579703741838,56,0.06508084634095429
10-229-01389,BIHAR,Nalanda,Parbalpur,0.0,0.0,,209,10,1389,,54466.2339431045,76043839.88376136,0.002096483898162842,0.0018749135632002564,57,0.10687007310241461
10-203-01022,BIHAR,Pashchim Champaran,Bhitaha,0.0,0.0,,211,10,1022,,72626.86760213553,166969906.7472905,0.0001802175521850586,0.00014181053286693135,122,0.017300885009765624
10-203-01013,BIHAR,Pashchim Champaran,Sidhaw,0.0,0.0,,211,10,1013,,195582.3602130639,1085337194.6715722,0.004286850166320801,0.002034065705093443,778,1.5825031185626988
10-203-01014,BIHAR,Pashchim Champaran,Ramnagar,0.0,0.0,,211,10,1014,,230865.78384139363,866139404.2451236,0.004286850166320801,0.00335625290977478,625,2.0976580686092374
10-203-01015,BIHAR,Pashchim Champaran,Gaunaha,0.0,0.0,,211,10,1015,,136504.94021895694,605322845.3823951,0.004286850166320801,0.0013263256784425965,436,0.5782779958009721
10-203-01016,BIHAR,Pashchim Champaran,Mainatanr,0.0,0.0,,211,10,1016,,115419.13930249632,312998546.4010918,0.001075446105003357,0.0006416261912722674,224,0.1437242668449879
10-203-01017,BIHAR,Pashchim Champaran,Narkatiaganj,0.0,0.0,,211,10,1017,,149144.20649331805,441857686.2127825,0.004286850166320801,0.0004694822315126659,316,0.14835638515800242
10-203-01018,BIHAR,Pashchim Champaran,Lauriya,0.0,0.0,,211,10,1018,,120853.32018665274,255440417.54612216,0.0001802175521850586,0.00014981460197538625,183,0.027416072161495685
10-203-01019,BIHAR,Pashchim Champaran,Bagaha,0.0,0.0,,211,10,1019,,135587.24079810514,491292931.53180623,0.004286850166320801,0.0008857105998992919,350,0.30999870996475215
10-203-01021,BIHAR,Pashchim Champaran,Madhubani,0.0,0.0,,211,10,1021,,144670.82201821523,386116138.1353823,0.0012726870059967042,0.00018863354346735012,278,0.05244012508392334
10-203-01024,BIHAR,Pashchim Champaran,Jogapatti,0.0,0.0,,211,10,1024,,88530.23644360513,258722436.3759333,0.0013403074264526369,0.00027980633731330593,186,0.05204397874027491
10-203-01029,BIHAR,Pashchim Champaran,Bairia,0.0,0.0,,211,10,1029,,105039.82861382668,288505226.87341565,0.0013403074264526369,0.001051724487742739,209,0.21981041793823244
10-203-01025,BIHAR,Pashchim Champaran,Chanpatia,0.0,0.0,,211,10,1025,,113543.7602983494,310017349.34780717,0.0013403074264526369,0.0005225954744964838,220,0.11497100438922644
10-206-01071,BIHAR,Sitamarhi,Parsauni,0.0,0.0,,221,10,1071,,63729.135625112256,74724139.64418457,0.012846717834472656,0.012114794940948486,55,0.6663137217521667
10-203-01026,BIHAR,Pashchim Champaran,Sikta,0.0,0.0,,211,10,1026,,93443.22825707054,255004178.86147365,0.00043778958320617677,0.0003634971168395636,185,0.06724696661531926
10-203-01027,BIHAR,Pashchim Champaran,Majhaulia,0.0,0.0,,211,10,1027,,123374.4030721297,371511179.15939575,0.0013403074264526369,0.001253254663285048,269,0.33712550442367795
10-203-01028,BIHAR,Pashchim Champaran,Bettiah,0.0,0.0,,211,10,1028,,53968.26030594324,83182055.35378212,0.0013403074264526369,0.0013403074264526369,60,0.08041844558715822
10-203-01030,BIHAR,Pashchim Champaran,Nautan,0.0,0.0,,211,10,1030,,122656.63983711715,245738630.13883996,0.0013403074264526369,0.001305498211035568,178,0.23237868156433109
10-204-01031,BIHAR,Purbi Champaran,Raxaul,0.0,0.0,,213,10,1031,,98709.78801801558,166685360.13968688,0.0027350032806396484,0.0004569330306847891,120,0.05483196368217469
10-206-01072,BIHAR,Sitamarhi,Belsand,0.0,0.0,,221,10,1072,,66235.5873217276,97354060.86547032,0.012846717834472656,0.011854498418955736,71,0.8416693877458573
10-206-01073,BIHAR,Sitamarhi,Runisaidpur,0.0,0.0,,221,10,1073,,152472.54206325076,334873257.0825382,0.021722389221191407,0.015684461343039028,239,3.748586260986328
10-204-01032,BIHAR,Purbi Champaran,Adapur,0.0,0.0,,213,10,1032,,94532.37688292323,199608924.7111849,0.0027350032806396484,0.00205780936795838,147,0.3024979770898819
10-206-01074,BIHAR,Sitamarhi,Dumra,0.0,0.0,,221,10,1074,,111649.34177378344,241159212.36062923,0.012846717834472656,0.012521005430886913,172,2.153612934112549
10-204-01033,BIHAR,Purbi Champaran,Ramgarhwa,0.0,0.0,,213,10,1033,,90718.26831189607,213035907.5226096,0.001306637167930603,0.0008466590348412009,153,0.12953883233070373
10-204-01034,BIHAR,Purbi Champaran,Sugauli,0.0,0.0,,213,10,1034,,84892.41923436844,209336830.19001696,0.001306637167930603,0.001306637167930603,150,0.19599557518959046
10-204-01038,BIHAR,Purbi Champaran,Ghorasahan,0.0,0.0,,213,10,1038,,75335.10865687576,144368243.47105,0.002916155529022217,0.0020555391889352068,104,0.2137760756492615
10-204-01035,BIHAR,Purbi Champaran,Banjaria,0.0,0.0,,213,10,1035,,102381.40449613356,176960195.87167916,0.001306637167930603,0.0009560613857479548,127,0.12141979598999025
10-204-01047,BIHAR,Purbi Champaran,Kesaria,0.0,0.0,,213,10,1047,,87546.8206889307,229535442.11688668,0.0033195053100585938,0.00026827765277453834,168,0.04507064566612244
10-204-01036,BIHAR,Purbi Champaran,Narkatia,0.0,0.0,,213,10,1036,,105607.09704406632,168338010.30978012,0.0027350032806396484,0.0006678113856558072,118,0.07880174350738525
10-204-01037,BIHAR,Purbi Champaran,Bankatwa,0.0,0.0,,213,10,1037,,99233.37216886049,115311013.90225838,0.002916155529022217,0.0006083455732499046,87,0.0529260648727417
10-204-01039,BIHAR,Purbi Champaran,Dhaka,0.0,0.0,,213,10,1039,,97673.73467814895,202386545.86227983,0.002916155529022217,0.0028653187445692114,148,0.4240671741962433
10-204-01048,BIHAR,Purbi Champaran,Kalyanpur,0.0,0.0,,213,10,1048,,109413.20044555076,313300912.50613195,0.0033195053100585938,0.001963992880941999,229,0.4497543697357178
10-204-01040,BIHAR,Purbi Champaran,Chiraia,0.0,0.0,,213,10,1040,,110764.71696779084,272984575.32652414,0.0033195053100585938,0.0011019080939981126,194,0.21377017023563386
10-204-01041,BIHAR,Purbi Champaran,Motihari,0.0,0.0,,213,10,1041,,181544.26702654368,319814691.13850176,0.0033195053100585938,0.0016308012615187898,239,0.38976150150299077
10-204-01049,BIHAR,Purbi Champaran,Kotwa,0.0,0.0,,213,10,1049,,78879.98205471091,178282937.71225017,0.0033195053100585938,0.0010939323531664335,130,0.14221120591163636
10-204-01042,BIHAR,Purbi Champaran,Turkaulia,0.0,0.0,,213,10,1042,,99475.78497366334,174748315.94966665,0.0033195053100585938,0.001156890923068637,126,0.14576825630664825
10-204-01050,BIHAR,Purbi Champaran,Piprakothi,0.0,0.0,,213,10,1050,,58369.33889310607,62223774.49301849,0.0033195053100585938,0.003200417232513428,43,0.1376179409980774
10-204-01043,BIHAR,Purbi Champaran,Harsidhi,0.0,0.0,,213,10,1043,,133904.34238337883,240218359.62130272,0.001306637167930603,0.000977975262535943,171,0.16723376989364624
10-204-01044,BIHAR,Purbi Champaran,Paharpur,0.0,0.0,,213,10,1044,,108730.62076802726,192061375.0173064,0.0013403074264526369,0.0011291422871376972,139,0.1569507779121399
10-204-01045,BIHAR,Purbi Champaran,Areraj,0.0,0.0,,213,10,1045,,93331.67353690567,242725576.26244012,0.0009530549049377442,0.0008902437348257411,176,0.15668289732933044
10-204-01046,BIHAR,Purbi Champaran,Sangrampur,0.0,0.0,,213,10,1046,,78133.67961210197,187659878.02718252,0.0007591116428375245,0.0007367848298128913,136,0.10020273685455322
10-204-01051,BIHAR,Purbi Champaran,Chakia(Pipra),0.0,0.0,,213,10,1051,,129110.66914194856,212940547.80779588,0.0033195053100585938,0.0033195053100585933,152,0.5045648071289062
10-204-01052,BIHAR,Purbi Champaran,Pakri Dayal,0.0,0.0,,213,10,1052,,90143.40730437863,148110040.62869397,0.0033195053100585938,0.003270711922645569,110,0.3597783114910126
10-204-01053,BIHAR,Purbi Champaran,Patahi,0.0,0.0,,213,10,1053,,85994.51677214028,144960443.14880535,0.0033195053100585938,0.0028064098785905277,102,0.2862538076162338
10-204-01055,BIHAR,Purbi Champaran,Madhuban,0.0,0.0,,213,10,1055,,112681.00006095257,152424272.44650427,0.0033195053100585938,0.0030710204667515227,108,0.33167021040916445
10-204-01056,BIHAR,Purbi Champaran,Tetaria,0.0,0.0,,213,10,1056,,82320.72754353678,104458405.63845472,0.021722389221191407,0.007224160589180985,77,0.5562603653669358
10-205-01058,BIHAR,Sheohar,Purnahiya,0.0,0.0,,220,10,1058,,57294.126150412616,80859097.14068061,0.002916155529022217,0.002841276943474485,57,0.16195278577804564
10-204-01057,BIHAR,Purbi Champaran,Mehsi,0.0,0.0,,213,10,1057,,125063.78039343117,149773808.08158112,0.021722389221191407,0.014299536586452175,111,1.5872485610961915
10-205-01059,BIHAR,Sheohar,Piprarhi,0.0,0.0,,220,10,1059,,105870.45511307275,104265216.9562483,0.012846717834472656,0.0037347723525923654,74,0.27637315409183505
10-205-01060,BIHAR,Sheohar,Sheohar,0.0,0.0,,220,10,1060,,81007.5322908237,115638983.35873616,0.00278277804851532,0.00278277804851532,80,0.2226222438812256
10-205-01061,BIHAR,Sheohar,Dumri Katsari,0.0,0.0,,220,10,1061,,65038.65439014734,84655470.24819931,0.00278277804851532,0.00278277804851532,63,0.17531501705646516
10-205-01062,BIHAR,Sheohar,Tariani Chowk,0.0,0.0,,220,10,1062,,97491.22869259815,171878914.60720828,0.021722389221191407,0.0069851845071429285,126,0.880133247900009
10-206-01063,BIHAR,Sitamarhi,Bairgania,0.0,0.0,,221,10,1063,,59598.621146511534,94417571.99630062,0.002916155529022217,0.002916155529022217,67,0.19538242044448853
10-206-01065,BIHAR,Sitamarhi,Majorganj,0.0,0.0,,221,10,1065,,62808.55729710282,95411217.42446172,0.007244464492797852,0.006635796044766903,64,0.4246909468650818
10-206-01066,BIHAR,Sitamarhi,Sonbarsa,0.0,0.0,,221,10,1066,,92820.94699371175,224104085.6083578,0.035954553222656255,0.009411263642221127,159,1.4963909191131592
10-206-01067,BIHAR,Sitamarhi,Parihar,0.0,0.0,,221,10,1067,,86838.20299610356,272812569.4060281,0.035954553222656255,0.03419679268817513,196,6.702571366882325
10-207-01095,BIHAR,Madhubani,Rajnagar,0.0,0.0,,206,10,1095,,78809.12744912357,223111125.2667772,0.03556092987060547,0.01624189735184545,161,2.6149454736471176
10-206-01068,BIHAR,Sitamarhi,Sursand,0.0,0.0,,221,10,1068,,91215.71647520129,181412871.1123928,0.035954553222656255,0.032096057671767014,130,4.172487497329712
10-206-01069,BIHAR,Sitamarhi,Bathnaha,0.0,0.0,,221,10,1069,,120764.04051803834,251403523.12922087,0.012846717834472656,0.00783729553424492,189,1.48124885597229
10-206-01070,BIHAR,Sitamarhi,Riga,0.0,0.0,,221,10,1070,,129433.73210860479,163724219.02092636,0.012846717834472656,0.009748510754798068,121,1.1795698013305662
10-210-01123,BIHAR,Kishanganj,Thakurganj,0.0,0.0,,203,10,1123,,224971.2940646554,491161543.46963537,0.026706336569786073,0.016995151203788673,363,6.169239886975289
10-210-01124,BIHAR,Kishanganj,Pothia,0.0,0.0,,203,10,1124,,167388.9118766352,443844792.4531903,0.026706336569786073,0.015959815767833167,315,5.027341966867447
